web_scraper_order,web_scraper_start_url,Name,price,adress,image_link
"1765121322-1","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons Ladoum","600 000CFA","Mbour, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-ladoum-821121"
"1765121322-2","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","125 000CFA","Guédiawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-817625"
"1765121322-3","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","200 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-816772"
"1765121322-4","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","450 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-816757"
"1765121322-5","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton de Tabaski","200 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-de-tabaski-814608"
"1765121322-6","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","100 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-813350"
"1765121322-7","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","200 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-813339"
"1765121322-8","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","200 000CFA","Les Parcelles Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-812873"
"1765121322-9","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","500 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-811661"
"1765121322-10","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","700 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-811659"
"1765121322-11","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","200 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-811594"
"1765121322-12","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","650 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-808861"
"1765121322-13","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","700 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-808847"
"1765121322-14","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","700 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-808844"
"1765121322-15","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton de race","350 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-de-race-806719"
"1765121322-16","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","400 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-806646"
"1765121322-17","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","250 000CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-805188"
"1765121322-18","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","200 000CFA","Diamniadio, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-804227"
"1765121322-19","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","300 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-803088"
"1765121322-20","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton de Tabaski","200 000CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-de-tabaski-799765"
"1765121322-21","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton de Tabaski","225 000CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-de-tabaski-799761"
"1765121322-22","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Azawat","175 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-azawat-798367"
"1765121322-23","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Ladoum","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-786617"
"1765121322-24","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons de Tabaski","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-de-tabaski-785715"
"1765121322-25","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","200 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-785089"
"1765121322-26","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Tabaski","Prix sur demande","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-tabaski-784942"
"1765121322-27","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons Ladoum","200 000CFA","Grand Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-ladoum-784546"
"1765121322-28","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","220 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-774363"
"1765121322-29","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton - Bélier","220 000CFA","Keur Massar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-belier-774349"
"1765121322-30","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Ladoum","950 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-932560"
"1765121322-31","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","Prix sur demande","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-769625"
"1765121322-32","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","Prix sur demande","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-769623"
"1765121322-33","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","300 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-766916"
"1765121322-34","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","250 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-766905"
"1765121322-35","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","250 000CFA","Dakar-Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-766836"
"1765121322-36","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","250 000CFA","Dakar-Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-766814"
"1765121322-37","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Ladoum","420 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-766491"
"1765121322-38","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Ladoum","450 000CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-765218"
"1765121322-39","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Malaw","Prix sur demande","Grand Dakar, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-malaw-761777"
"1765121322-40","https://sn.coinafrique.com/categorie/moutons?page=16","Ladoum mâle et femelle","800 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/ladoum-male-et-femelle-932546"
"1765121322-41","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","Prix sur demande","Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-754311"
"1765121322-42","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Tabaskie","140 000CFA","HLM, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-tabaskie-754270"
"1765121322-43","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Tabaskie","140 000CFA","HLM, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-tabaskie-754269"
"1765121322-44","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","140 000CFA","HLM, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-754261"
"1765121322-45","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton gris noir","150 000CFA","HLM, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-gris-noir-754257"
"1765121322-46","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","Prix sur demande","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-754242"
"1765121322-47","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton de Tabaski","Prix sur demande","Hann Bel-Air, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-de-tabaski-752727"
"1765121322-48","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton de Tabaski","Prix sur demande","Hann Bel-Air, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-de-tabaski-752719"
"1765121322-49","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","300 000CFA","Saint Louis, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-751785"
"1765121322-50","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","220CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-751740"
"1765121322-51","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","25 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-743301"
"1765121322-52","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","260 000CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-743069"
"1765121322-53","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","160 000CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-743068"
"1765121322-54","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","160 000CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-743067"
"1765121322-55","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","150 000CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-743066"
"1765121322-56","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton","150 000CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-743065"
"1765121322-57","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","250 000CFA","Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-742328"
"1765121322-58","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","190 000CFA","Fann, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-730962"
"1765121322-59","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Tabaski","250 000CFA","HLM, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-tabaski-725090"
"1765121322-60","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","Prix sur demande","Koussanar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-724916"
"1765121322-61","https://sn.coinafrique.com/categorie/moutons?page=16","Mouton Ladoum","300 000CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-723681"
"1765121322-62","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons","150 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-722669"
"1765121322-63","https://sn.coinafrique.com/categorie/moutons?page=16","Moutons de race","150 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-de-race-721746"
"1765122076-64","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton Ladoum","185 000CFA","Dakar-Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1910059"
"1765122076-65","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","200 000CFA","Dakar-Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1909212"
"1765122076-66","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","300 000CFA","Dakar-Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1909205"
"1765122076-67","https://sn.coinafrique.com/categorie/moutons?page=15","Moutons","350 000CFA","Thies, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-1905916"
"1765122076-68","https://sn.coinafrique.com/categorie/moutons?page=15","Mouton","170 000CFA","Dakar Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-1904199"
"1765122076-69","https://sn.coinafrique.com/categorie/moutons?page=15","Ladoum jeune femelle","Prix sur demande","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/ladoum-jeune-femelle-1869297"
"1765122076-70","https://sn.coinafrique.com/categorie/moutons?page=15","Moutons Toulabire","150 000CFA","Dakar-Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-toulabire-1863893"
