web_scraper_order,web_scraper_start_url,details,price,adress,image_link
"1765104913-1","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Pigeon fauve","10 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-fauve-1246480"
"1765104913-2","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Pigeon à queue de paon indien","20 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-a-queue-de-paon-indien-1242200"
"1765104913-3","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Pigeons","60 000CFA","Pikine, Sénégal","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1209192"
"1765104913-4","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Jeune femelle  lavande","20 000CFA","Les Parcelles Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/jeune-femelle-lavande-1204935"
"1765104913-5","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poussin - 1 jour","Prix sur demande","Sénégal","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-1-jour-1159518"
"1765104913-6","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lawar","30 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lawar-1148681"
"1765104913-7","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Maton","25 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/maton-1148605"
"1765104913-8","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poulets Guinars tiirr","Prix sur demande","Patte d'oie, Dakar, Sénégal","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-guinars-tiirr-1146827"
"1765104913-9","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Pigeons","Prix sur demande","Fatick, Sénégal","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1137405"
"1765104913-10","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Bleu hollandais","25 000CFA","Sénégal","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/bleu-hollandais-1115010"
